dataset,category,count,total,proportion
alpaca,other,7040,10000,0.704
alpaca,explanation,1537,10000,0.1537
alpaca,creative,509,10000,0.0509
alpaca,qa_reasoning,398,10000,0.0398
alpaca,summarization,229,10000,0.0229
alpaca,coding,209,10000,0.0209
alpaca,translation,44,10000,0.0044
alpaca,conversation,34,10000,0.0034
dolly,other,6361,10000,0.6361
dolly,explanation,1717,10000,0.1717
dolly,qa_reasoning,1545,10000,0.1545
dolly,creative,189,10000,0.0189
dolly,summarization,134,10000,0.0134
dolly,coding,43,10000,0.0043
dolly,conversation,7,10000,0.0007
dolly,translation,4,10000,0.0004
oasst1,other,5033,9057,0.5557027713370873
oasst1,qa_reasoning,1791,9057,0.19774759854256377
oasst1,explanation,1152,9057,0.1271944352434581
oasst1,coding,623,9057,0.0687865739207243
oasst1,creative,241,9057,0.026609252511869273
oasst1,summarization,89,9057,0.009826653417246329
oasst1,conversation,86,9057,0.009495417908799823
oasst1,translation,42,9057,0.004637297118251077
