dataset,field,n,ngram,count
alpaca,instruction,3,a list of,413
alpaca,instruction,3,the following sentence,245
alpaca,instruction,3,what is the,218
alpaca,instruction,3,an example of,178
alpaca,instruction,3,generate a list,170
alpaca,instruction,3,come up with,159
alpaca,instruction,3,of the following,136
alpaca,instruction,3,example of a,129
alpaca,instruction,3,rewrite the following,107
alpaca,instruction,3,for the following,101
alpaca,instruction,3,up with a,99
alpaca,instruction,3,based on the,97
alpaca,instruction,3,in the following,90
alpaca,instruction,3,story about a,81
alpaca,instruction,3,of the given,80
alpaca,instruction,3,compare and contrast,78
alpaca,instruction,3,given the following,77
alpaca,instruction,3,the concept of,77
alpaca,instruction,3,classify the following,76
alpaca,instruction,3,to make it,74
alpaca,instruction,3,create a list,73
alpaca,instruction,3,for the given,71
alpaca,instruction,3,a story about,66
alpaca,instruction,3,following sentence to,66
alpaca,instruction,3,give an example,63
alpaca,instruction,3,list of five,60
alpaca,instruction,3,what are the,58
alpaca,instruction,3,the importance of,56
alpaca,instruction,3,to the following,55
alpaca,instruction,3,sentence using the,54
alpaca,instruction,3,the given sentence,53
alpaca,instruction,3,sentence to make,53
alpaca,instruction,3,rewrite the sentence,52
alpaca,instruction,3,the difference between,52
alpaca,instruction,3,related to the,52
alpaca,instruction,3,write a short,52
alpaca,instruction,3,edit the following,51
alpaca,instruction,3,in the given,51
alpaca,instruction,3,list of 5,50
alpaca,instruction,3,make a list,49
alpaca,instruction,3,explain the concept,49
alpaca,instruction,3,make it more,47
alpaca,instruction,3,generate a sentence,47
alpaca,instruction,3,one of the,47
alpaca,instruction,3,from the following,46
alpaca,instruction,3,a sentence that,46
alpaca,instruction,3,on the given,46
alpaca,instruction,3,the following sentence:,44
alpaca,instruction,3,given a list,44
alpaca,instruction,3,categorize the following,44
dolly,instruction,3,what is the,720
dolly,instruction,3,what are the,386
dolly,instruction,3,give me a,338
dolly,instruction,3,of the following,307
dolly,instruction,3,what are some,251
dolly,instruction,3,a list of,240
dolly,instruction,3,what is a,238
dolly,instruction,3,me a list,193
dolly,instruction,3,each of the,176
dolly,instruction,3,identify which instrument,164
dolly,instruction,3,which instrument is,164
dolly,instruction,3,instrument is string,164
dolly,instruction,3,is string or,164
dolly,instruction,3,classify each of,162
dolly,instruction,3,reference text about,159
dolly,instruction,3,from the passage,151
dolly,instruction,3,the following as,149
dolly,instruction,3,list of the,148
dolly,instruction,3,tell me whether,143
dolly,instruction,3,this paragraph about,141
dolly,instruction,3,which of the,137
dolly,instruction,3,string or percussion:,137
dolly,instruction,3,given this paragraph,136
dolly,instruction,3,is the best,136
dolly,instruction,3,who is the,134
dolly,instruction,3,given a reference,130
dolly,instruction,3,the difference between,129
dolly,instruction,3,a reference text,127
dolly,instruction,3,based on the,113
dolly,instruction,3,is the difference,111
dolly,instruction,3,some of the,103
dolly,instruction,3,which of these,102
dolly,instruction,3,"the passage provided,",100
dolly,instruction,3,bulleted list of,96
dolly,instruction,3,me whether these,96
dolly,instruction,3,what was the,90
dolly,instruction,3,a bulleted list,87
dolly,instruction,3,the names of,87
dolly,instruction,3,"passage provided, extract",86
dolly,instruction,3,which is a,84
dolly,instruction,3,how do you,83
dolly,instruction,3,"provided, extract the",79
dolly,instruction,3,following as either,78
dolly,instruction,3,identify which animal,70
dolly,instruction,3,tell me which,69
dolly,instruction,3,is a species,67
dolly,instruction,3,a species of,67
dolly,instruction,3,species of fish?,67
dolly,instruction,3,based on this,65
dolly,instruction,3,the following are,65
oasst1,instruction,3,what is the,361
oasst1,instruction,3,what are the,214
oasst1,instruction,3,what are some,196
oasst1,instruction,3,how do i,195
oasst1,instruction,3,how can i,187
oasst1,instruction,3,i want to,180
oasst1,instruction,3,you give me,166
oasst1,instruction,3,can you give,165
oasst1,instruction,3,give me a,145
oasst1,instruction,3,you tell me,134
oasst1,instruction,3,can you explain,116
oasst1,instruction,3,can you tell,113
oasst1,instruction,3,are there any,108
oasst1,instruction,3,a list of,104
oasst1,instruction,3,i need to,96
oasst1,instruction,3,i would like,93
oasst1,instruction,3,can you provide,89
oasst1,instruction,3,can you write,86
oasst1,instruction,3,can you please,85
oasst1,instruction,3,do you think,83
oasst1,instruction,3,the difference between,77
oasst1,instruction,3,is there a,75
oasst1,instruction,3,write me a,74
oasst1,instruction,3,could you please,73
oasst1,instruction,3,do you have,71
oasst1,instruction,3,thank you for,70
oasst1,instruction,3,would like to,68
oasst1,instruction,3,an example of,59
oasst1,instruction,3,some of the,58
oasst1,instruction,3,give me some,57
oasst1,instruction,3,i want you,57
oasst1,instruction,3,want you to,57
oasst1,instruction,3,tell me more,55
oasst1,instruction,3,how would i,54
oasst1,instruction,3,be able to,54
oasst1,instruction,3,that i can,54
oasst1,instruction,3,is the best,53
oasst1,instruction,3,could you give,53
oasst1,instruction,3,me more about,52
oasst1,instruction,3,i have a,52
oasst1,instruction,3,what should i,52
oasst1,instruction,3,tell me about,52
oasst1,instruction,3,what do you,52
oasst1,instruction,3,you have any,50
oasst1,instruction,3,what would be,49
oasst1,instruction,3,provide me with,49
oasst1,instruction,3,what is a,48
oasst1,instruction,3,to create a,48
oasst1,instruction,3,how do you,48
oasst1,instruction,3,is the difference,47
